Row_ID,Order_ID,Order_Date,Ship_Date,Shipping_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,DaysToShip
19,CA-2011-143336,2011-08-27,2011-09-01,Second class,ZD-21925,Zuschuss Donatelli,Consumer,United states,San francisco,California,94109,West,OFF-AR-10003056,Office supplies,Office supplies,Newell 341,8.56,2,0.00,2.48,5
20,CA-2011-143336,2011-08-27,2011-09-01,Second class,ZD-21925,Zuschuss Donatelli,Consumer,United states,San francisco,California,94109,West,TEC-PH-10001949,Technology,Technology,Cisco SPA 501G IP Phone,213.48,3,0.20,16.01,5
21,CA-2011-143336,2011-08-27,2011-09-01,Second class,ZD-21925,Zuschuss Donatelli,Consumer,United states,San francisco,California,94109,West,OFF-BI-10002215,Office supplies,Office supplies,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.20,7.38,5
22,CA-2013-137330,2013-12-10,2013-12-14,Standard class,KB-16585,Ken Black,Corporate,United states,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office supplies,Office supplies,Newell 318,19.46,7,0.00,5.06,4
23,CA-2013-137330,2013-12-10,2013-12-14,Standard class,KB-16585,Ken Black,Corporate,United states,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office supplies,Office supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.00,15.69,4
24,US-2014-156909,2014-07-17,2014-07-19,Second class,SF-20065,Sandra Flanagan,Consumer,United states,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Furniture,"Global Deluxe Stacking Chair, Gray",71.37,2,0.30,-1.02,2
25,CA-2012-106320,2012-09-25,2012-09-30,Standard class,EB-13870,Emily Burns,Consumer,United states,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Furniture,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.00,240.26,5
26,CA-2013-121755,2013-01-16,2013-01-20,Second class,EH-13945,Eric Hoffmann,Consumer,United states,Los angeles,California,90049,West,OFF-BI-10001634,Office supplies,Office supplies,Wilson Jones Active Use Binders,11.65,2,0.20,4.22,4
27,CA-2013-121755,2013-01-16,2013-01-20,Second class,EH-13945,Eric Hoffmann,Consumer,United states,Los angeles,California,90049,West,TEC-AC-10003027,Technology,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.00,11.77,4
28,US-2012-150630,2012-09-17,2012-09-21,Standard class,TB-21520,Tracy Blumstein,Consumer,United states,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.50,-1665.05,4
29,US-2012-150630,2012-09-17,2012-09-21,Standard class,TB-21520,Tracy Blumstein,Consumer,United states,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office supplies,Office supplies,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,0.70,-7.05,4
30,US-2012-150630,2012-09-17,2012-09-21,Standard class,TB-21520,Tracy Blumstein,Consumer,United states,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,3,0.20,15.53,4
31,US-2012-150630,2012-09-17,2012-09-21,Standard class,TB-21520,Tracy Blumstein,Consumer,United states,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office supplies,Office supplies,Poly String Tie Envelopes,3.26,2,0.20,1.10,4
32,US-2012-150630,2012-09-17,2012-09-21,Standard class,TB-21520,Tracy Blumstein,Consumer,United states,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office supplies,Office supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,6,0.20,9.71,4
33,US-2012-150630,2012-09-17,2012-09-21,Standard class,TB-21520,Tracy Blumstein,Consumer,United states,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office supplies,Office supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6,0.70,-5.72,4
34,US-2012-150630,2012-09-17,2012-09-21,Standard class,TB-21520,Tracy Blumstein,Consumer,United states,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office supplies,Office supplies,Lumber Crayons,15.76,2,0.20,3.55,4
35,CA-2014-107727,2014-10-20,2014-10-24,Second class,MA-17560,Matt Abelman,Home office,United states,Houston,Texas,77095,Central,OFF-PA-10000249,Office supplies,Office supplies,Staples,29.47,3,0.20,9.95,4
36,CA-2013-117590,2013-12-09,2013-12-11,First class,GH-14485,Gene Hale,Corporate,United states,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Technology,GE 30524EE4,1097.54,7,0.20,123.47,2
37,CA-2013-117590,2013-12-09,2013-12-11,First class,GH-14485,Gene Hale,Corporate,United states,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.60,-147.96,2
38,CA-2012-117415,2012-12-27,2012-12-31,Standard class,SN-20710,Steve Nguyen,Home office,United states,Houston,Texas,77041,Central,OFF-EN-10002986,Office supplies,Office supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,0.20,35.42,4
39,CA-2012-117415,2012-12-27,2012-12-31,Standard class,SN-20710,Steve Nguyen,Home office,United states,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3,0.32,-46.98,4
40,CA-2012-117415,2012-12-27,2012-12-31,Standard class,SN-20710,Steve Nguyen,Home office,United states,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Furniture,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.30,-15.15,4
41,CA-2012-117415,2012-12-27,2012-12-31,Standard class,SN-20710,Steve Nguyen,Home office,United states,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Technology,Plantronics HL10 Handset Lifter,371.17,4,0.20,41.76,4
42,CA-2014-120999,2014-09-11,2014-09-16,Standard class,LC-16930,Linda Cazamias,Corporate,United states,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Technology,Panasonic Kx-TS550,147.17,4,0.20,16.56,5
43,CA-2013-101343,2013-07-18,2013-07-23,Standard class,RA-19885,Ruben Ausman,Corporate,United states,Los angeles,California,90049,West,OFF-ST-10003479,Office supplies,Office supplies,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.00,3.89,5
44,CA-2014-139619,2014-09-20,2014-09-24,Standard class,ES-14080,Erin Smith,Corporate,United states,Melbourne,Florida,32935,South,OFF-ST-10003282,Office supplies,Office supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.20,9.56,4
45,CA-2013-118255,2013-03-12,2013-03-14,First class,ON-18715,Odella Nelson,Corporate,United states,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.00,19.77,2
46,CA-2013-118255,2013-03-12,2013-03-14,First class,ON-18715,Odella Nelson,Corporate,United states,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office supplies,Office supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.00,8.21,2
47,CA-2011-146703,2011-10-20,2011-10-25,Second class,PO-18865,Patrick O'Donnell,Consumer,United states,Westland,Michigan,48185,Central,OFF-ST-10001713,Office supplies,Office supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.00,8.48,5
48,CA-2013-169194,2013-06-21,2013-06-26,Standard class,LH-16900,Lena Hernandez,Consumer,United states,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,3,0.00,4.95,5
49,CA-2013-169194,2013-06-21,2013-06-26,Standard class,LH-16900,Lena Hernandez,Consumer,United states,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2,0.00,6.10,5
50,CA-2012-115742,2012-04-18,2012-04-22,Standard class,DP-13000,Darren Powers,Consumer,United states,New albany,Indiana,47150,Central,OFF-BI-10004410,Office supplies,Office supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.00,17.96,4
51,CA-2012-115742,2012-04-18,2012-04-22,Standard class,DP-13000,Darren Powers,Consumer,United states,New albany,Indiana,47150,Central,OFF-LA-10002762,Office supplies,Office supplies,Avery 485,75.18,6,0.00,35.33,4
52,CA-2012-115742,2012-04-18,2012-04-22,Standard class,DP-13000,Darren Powers,Consumer,United states,New albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furniture,Longer-Life Soft White Bulbs,6.16,2,0.00,2.96,4
53,CA-2012-115742,2012-04-18,2012-04-22,Standard class,DP-13000,Darren Powers,Consumer,United states,New albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Furniture,"Global Leather Task Chair, Black",89.99,1,0.00,17.10,4
54,CA-2013-105816,2013-12-12,2013-12-18,Standard class,JM-15265,Janet Molinari,Corporate,United states,New york city,New york,10024,East,OFF-FA-10000304,Office supplies,Office supplies,Advantus Push Pins,15.26,7,0.00,6.26,6
55,CA-2013-105816,2013-12-12,2013-12-18,Standard class,JM-15265,Janet Molinari,Corporate,United states,New york city,New york,10024,East,TEC-PH-10002447,Technology,Technology,AT&T CL83451 4-Handset Telephone,1029.95,5,0.00,298.69,6
56,CA-2013-111682,2013-06-18,2013-06-19,First class,TB-21055,Ted Butterfield,Consumer,United states,Troy,New york,12180,East,OFF-ST-10000604,Office supplies,Office supplies,Home/Office Personal File Carts,208.56,6,0.00,52.14,1
57,CA-2013-111682,2013-06-18,2013-06-19,First class,TB-21055,Ted Butterfield,Consumer,United states,Troy,New york,12180,East,OFF-PA-10001569,Office supplies,Office supplies,Xerox 232,32.40,5,0.00,15.55,1
58,CA-2013-111682,2013-06-18,2013-06-19,First class,TB-21055,Ted Butterfield,Consumer,United states,Troy,New york,12180,East,FUR-CH-10003968,Furniture,Furniture,Novimex Turbo Task Chair,319.41,5,0.10,7.10,1
59,CA-2013-111682,2013-06-18,2013-06-19,First class,TB-21055,Ted Butterfield,Consumer,United states,Troy,New york,12180,East,OFF-PA-10000587,Office supplies,Office supplies,"Array Parchment Paper, Assorted Colors",14.56,2,0.00,6.99,1
60,CA-2013-111682,2013-06-18,2013-06-19,First class,TB-21055,Ted Butterfield,Consumer,United states,Troy,New york,12180,East,TEC-AC-10002167,Technology,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.00,2,0.00,3.30,1
61,CA-2013-111682,2013-06-18,2013-06-19,First class,TB-21055,Ted Butterfield,Consumer,United states,Troy,New york,12180,East,OFF-BI-10001460,Office supplies,Office supplies,Plastic Binding Combs,48.48,4,0.20,16.36,1
62,CA-2013-111682,2013-06-18,2013-06-19,First class,TB-21055,Ted Butterfield,Consumer,United states,Troy,New york,12180,East,OFF-AR-10001868,Office supplies,Office supplies,Prang Dustless Chalk Sticks,1.68,1,0.00,0.84,1
63,CA-2012-135545,2012-11-24,2012-11-30,Standard class,KM-16720,Kunst Miller,Consumer,United states,Los angeles,California,90004,West,TEC-AC-10004633,Technology,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.00,6.15,6
64,CA-2012-135545,2012-11-24,2012-11-30,Standard class,KM-16720,Kunst Miller,Consumer,United states,Los angeles,California,90004,West,OFF-BI-10001078,Office supplies,Office supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,0.20,9.36,6
65,CA-2012-135545,2012-11-24,2012-11-30,Standard class,KM-16720,Kunst Miller,Consumer,United states,Los angeles,California,90004,West,OFF-PA-10003892,Office supplies,Office supplies,Xerox 1943,146.73,3,0.00,68.96,6
66,CA-2012-135545,2012-11-24,2012-11-30,Standard class,KM-16720,Kunst Miller,Consumer,United states,Los angeles,California,90004,West,FUR-FU-10000397,Furniture,Furniture,Luxo Economy Swing Arm Lamp,79.76,4,0.00,22.33,6
67,US-2012-164175,2012-04-30,2012-05-05,Standard class,PS-18970,Paul Stevenson,Home office,United states,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Furniture,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.30,-15.22,5
68,CA-2011-106376,2011-12-05,2011-12-10,Standard class,BS-11590,Brendan Sweed,Corporate,United states,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office supplies,Office supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.20,111.30,5
69,CA-2011-106376,2011-12-05,2011-12-10,Standard class,BS-11590,Brendan Sweed,Corporate,United states,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Technology,netTALK DUO VoIP Telephone Service,167.97,4,0.20,62.99,5
70,CA-2013-119823,2013-06-05,2013-06-07,First class,KD-16270,Karen Daniels,Consumer,United states,Springfield,Virginia,22153,South,OFF-PA-10000482,Office supplies,Office supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.00,35.66,2
71,CA-2013-106075,2013-09-19,2013-09-24,Standard class,HM-14980,Henry MacAllister,Consumer,United states,New york city,New york,10009,East,OFF-BI-10004654,Office supplies,Office supplies,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.20,1.73,5
72,CA-2014-114440,2014-09-15,2014-09-18,Second class,TB-21520,Tracy Blumstein,Consumer,United states,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office supplies,Office supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.00,8.76,3
73,US-2012-134026,2012-04-26,2012-05-02,Standard class,JE-15745,Joel Eaton,Consumer,United states,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Furniture,High-Back Leather Manager's Chair,831.94,8,0.20,-114.39,6
74,US-2012-134026,2012-04-26,2012-05-02,Standard class,JE-15745,Joel Eaton,Consumer,United states,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.20,1.21,6
75,US-2012-134026,2012-04-26,2012-05-02,Standard class,JE-15745,Joel Eaton,Consumer,United states,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office supplies,Office supplies,Safco Industrial Wire Shelving System,72.78,1,0.20,-18.20,6
76,US-2014-118038,2014-12-10,2014-12-12,First class,KB-16600,Ken Brennan,Corporate,United states,Houston,Texas,77041,Central,OFF-BI-10004182,Office supplies,Office supplies,Economy Binders,1.25,3,0.80,-1.93,2
77,US-2014-118038,2014-12-10,2014-12-12,First class,KB-16600,Ken Brennan,Corporate,United states,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furniture,"6"" Cubicle Wall Clock, Black",9.71,3,0.60,-5.82,2
78,US-2014-118038,2014-12-10,2014-12-12,First class,KB-16600,Ken Brennan,Corporate,United states,Houston,Texas,77041,Central,OFF-ST-10000615,Office supplies,Office supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.20,2.72,2
79,US-2011-147606,2011-11-26,2011-12-01,Second class,JE-15745,Joel Eaton,Consumer,United states,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5,0.60,-14.48,5
80,CA-2013-127208,2013-06-13,2013-06-16,First class,SC-20770,Stewart Carmichael,Corporate,United states,Decatur,Alabama,35601,South,OFF-AP-10002118,Office supplies,Office supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.00,56.20,3
81,CA-2013-127208,2013-06-13,2013-06-16,First class,SC-20770,Stewart Carmichael,Corporate,United states,Decatur,Alabama,35601,South,OFF-BI-10002309,Office supplies,Office supplies,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.00,8.04,3
82,CA-2011-139451,2011-10-12,2011-10-16,Standard class,DN-13690,Duane Noonan,Consumer,United states,San francisco,California,94122,West,OFF-AR-10002053,Office supplies,Office supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5,0.00,4.17,4
83,CA-2011-139451,2011-10-12,2011-10-16,Standard class,DN-13690,Duane Noonan,Consumer,United states,San francisco,California,94122,West,OFF-ST-10002370,Office supplies,Office supplies,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.00,6.20,4
84,CA-2012-149734,2012-09-03,2012-09-08,Standard class,JC-16105,Julie Creighton,Corporate,United states,Durham,North carolina,27707,South,OFF-EN-10000927,Office supplies,Office supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7,0.20,62.81,5
85,US-2014-119662,2014-11-14,2014-11-17,First class,CS-12400,Christopher Schild,Home office,United states,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office supplies,Office supplies,Safco Industrial Wire Shelving,230.38,3,0.20,-48.95,3
86,CA-2014-140088,2014-05-29,2014-05-31,Second class,PO-18865,Patrick O'Donnell,Consumer,United states,Columbia,South carolina,29203,South,FUR-CH-10000863,Furniture,Furniture,Novimex Swivel Fabric Task Chair,301.96,2,0.00,33.22,2
87,CA-2014-155558,2014-10-27,2014-11-03,Standard class,PG-18895,Paul Gonzalez,Consumer,United states,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.00,6.80,7
88,CA-2014-155558,2014-10-27,2014-11-03,Standard class,PG-18895,Paul Gonzalez,Consumer,United states,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office supplies,Office supplies,Avery 511,6.16,2,0.00,2.96,7
89,CA-2013-159695,2013-04-06,2013-04-11,Second class,GM-14455,Gary Mitchum,Home office,United states,Houston,Texas,77095,Central,OFF-ST-10003442,Office supplies,Office supplies,Eldon Portable Mobile Manager,158.37,7,0.20,13.86,5
90,CA-2013-109806,2013-09-18,2013-09-23,Standard class,JS-15685,Jim Sink,Corporate,United states,Los angeles,California,90036,West,OFF-AR-10004930,Office supplies,Office supplies,Turquoise Lead Holder with Pocket Clip,20.10,3,0.00,6.63,5
91,CA-2013-109806,2013-09-18,2013-09-23,Standard class,JS-15685,Jim Sink,Corporate,United states,Los angeles,California,90036,West,TEC-PH-10004093,Technology,Technology,Panasonic Kx-TS550,73.58,2,0.20,8.28,5
92,CA-2013-109806,2013-09-18,2013-09-23,Standard class,JS-15685,Jim Sink,Corporate,United states,Los angeles,California,90036,West,OFF-PA-10000304,Office supplies,Office supplies,Xerox 1995,6.48,1,0.00,3.11,5
93,CA-2012-149587,2012-01-31,2012-02-05,Second class,KB-16315,Karl Braun,Consumer,United states,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office supplies,Office supplies,Xerox 1999,12.96,2,0.00,6.22,5
94,CA-2012-149587,2012-01-31,2012-02-05,Second class,KB-16315,Karl Braun,Consumer,United states,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furniture,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.00,16.54,5
95,CA-2012-149587,2012-01-31,2012-02-05,Second class,KB-16315,Karl Braun,Consumer,United states,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office supplies,Office supplies,Ibico Standard Transparent Covers,32.96,2,0.00,16.15,5
96,US-2014-109484,2014-11-07,2014-11-13,Standard class,RB-19705,Roger Barcio,Home office,United states,Portland,Oregon,97206,West,OFF-BI-10004738,Office supplies,Office supplies,Flexible Leather- Look Classic Collection Ring Binder,5.68,1,0.70,-3.79,6
97,CA-2014-161018,2014-11-10,2014-11-12,Second class,PN-18775,Parhena Norris,Home office,United states,New york city,New york,10009,East,FUR-FU-10000629,Furniture,Furniture,9-3/4 Diameter Round Wall Clock,96.53,7,0.00,40.54,2
98,CA-2014-157833,2014-06-18,2014-06-21,First class,KD-16345,Katherine Ducich,Consumer,United states,San francisco,California,94122,West,OFF-BI-10001721,Office supplies,Office supplies,Trimflex Flexible Post Binders,51.31,3,0.20,17.96,3
99,CA-2013-149223,2013-09-07,2013-09-12,Standard class,ER-13855,Elpida Rittenbach,Corporate,United states,Saint paul,Minnesota,55106,Central,OFF-AP-10000358,Office supplies,Office supplies,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.00,22.59,5
100,CA-2013-158568,2013-08-30,2013-09-03,Standard class,RB-19465,Rick Bensley,Home office,United states,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office supplies,Office supplies,Avery Personal Creations Heavyweight Cards,64.62,7,0.20,22.62,4
101,CA-2013-158568,2013-08-30,2013-09-03,Standard class,RB-19465,Rick Bensley,Home office,United states,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3,0.20,-10.80,4
102,CA-2013-158568,2013-08-30,2013-09-03,Standard class,RB-19465,Rick Bensley,Home office,United states,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office supplies,Office supplies,Avery Hidden Tab Dividers for Binding Systems,1.79,3,0.80,-3.04,4
103,CA-2013-129903,2013-12-02,2013-12-05,Second class,GZ-14470,Gary Zandusky,Consumer,United states,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office supplies,Office supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.00,11.72,3
104,US-2012-156867,2012-11-13,2012-11-17,Standard class,LC-16870,Lena Cacioppo,Consumer,United states,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Technology,Logitech K350 2.4Ghz Wireless Keyboard,238.90,6,0.20,-26.88,4
105,US-2012-156867,2012-11-13,2012-11-17,Standard class,LC-16870,Lena Cacioppo,Consumer,United states,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.20,-3.84,4
106,US-2012-156867,2012-11-13,2012-11-17,Standard class,LC-16870,Lena Cacioppo,Consumer,United states,Aurora,Colorado,80013,West,OFF-BI-10002794,Office supplies,Office supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88,3,0.70,-25.82,4
107,CA-2014-119004,2014-11-24,2014-11-29,Standard class,JM-15250,Janet Martin,Consumer,United states,Charlotte,North carolina,28205,South,TEC-AC-10003499,Technology,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,8,0.20,17.60,5
